inserting,FunctionWords
represent,FunctionWords
trust bank,EconomicOperands
redesignating,FunctionWords
financial,EconomicOperands
amended,RegulatoryOperators
activities,EconomicOperands
industrial loan companies,EconomicOperands
section,LegalReferences
striking,FunctionWords
notice,LegalReferences
holding companies,EconomicOperands
back-up,EconomicOperands
moratorium,RegulatoryOperators
subsection,LegalReferences
transactions,EconomicOperands
follows,LogicalConnectors
duplication,EconomicOperands
nonbanks,EconomicOperands
shall,RegulatoryOperators
