Act;LegalReferences;10
title;LegalReferences;2
may;FunctionWords;4
be;FunctionWords;15
cited;Other;1
as;FunctionWords;13
the;FunctionWords;91
Amendment;Other;1
to;FunctionWords;22
reduce;EconomicOperands;1
TARP;EconomicOperands;3
of;FunctionWords;63
5225(a));LegalReferences;1
is;FunctionWords;11
amended;Other;8
in;FunctionWords;11
(3);LegalReferences;1
by;FunctionWords;37
striking;Other;3
such;FunctionWords;13
amount;EconomicOperands;4
and;LogicalConnectors;28
inserting;Other;6
at;FunctionWords;7
any;FunctionWords;22
one;FunctionWords;1
time;EconomicOperands;2
adding;Other;4
end;Other;6
following;FunctionWords;8
class;EconomicOperands;8
For;FunctionWords;1
purposes;EconomicOperands;1
subsection;LegalReferences;4
authority;EconomicOperands;3
Secretary;EconomicOperands;18
shall;FunctionWords;17
not;FunctionWords;7
amounts;EconomicOperands;14
before;LogicalConnectors;1
on;FunctionWords;3
or;LogicalConnectors;25
after;LogicalConnectors;5
date;EconomicOperands;1
enactment;Other;1
from;FunctionWords;12
principal;EconomicOperands;1
financial;EconomicOperands;2
an;FunctionWords;9
entity;EconomicOperands;1
that;FunctionWords;6
has;FunctionWords;1
under;FunctionWords;12
other;FunctionWords;11
granted;LogicalConnectors;2
for;FunctionWords;20
became;EconomicOperands;1
losses;EconomicOperands;2
No;FunctionWords;1
obligation;EconomicOperands;4
a;FunctionWords;7
was;FunctionWords;1
prior;EconomicOperands;1
Report;EconomicOperands;2
5216);LegalReferences;1
The;FunctionWords;6
report;EconomicOperands;3
Congress;EconomicOperands;2
every;FunctionWords;1
months;Attributes;1
general;FunctionWords;2
fund;EconomicOperands;1
(d);LegalReferences;1
Amendments;Other;1
Housing;EconomicOperands;4
2008;LegalReferences;2
Sale;EconomicOperands;3
Mae;EconomicOperands;1
obligations;EconomicOperands;3
securities;EconomicOperands;2
304(g)(2);LegalReferences;1
1719(g)(2));LegalReferences;1
redesignating;Other;3
(C);LegalReferences;3
(D);LegalReferences;3
(B);LegalReferences;3
deposit;EconomicOperands;3
General;FunctionWords;7
Fund;EconomicOperands;7
sale;EconomicOperands;3
acquired;EconomicOperands;3
where;FunctionWords;7
purpose;EconomicOperands;7
prohibited;EconomicOperands;7
use;EconomicOperands;8
increases;EconomicOperands;7
306(l)(2);LegalReferences;1
1455(l)(2));LegalReferences;1
Federal;EconomicOperands;3
Home;EconomicOperands;1
Loan;EconomicOperands;1
Banks;EconomicOperands;1
11(l)(2);LegalReferences;1
1431(l)(2));LegalReferences;1
fees;EconomicOperands;1
Any;FunctionWords;2
periodic;Attributes;1
commitment;EconomicOperands;1
fee;EconomicOperands;3
assessment;EconomicOperands;1
Association;EconomicOperands;2
Corporation;EconomicOperands;2
stock;EconomicOperands;1
purchase;EconomicOperands;2
security;EconomicOperands;1
activity;EconomicOperands;1
authorized;RegulatoryOperators;1
out;FunctionWords;1
1117;LegalReferences;1
(Public;EconomicOperands;4
Law;EconomicOperands;4
including;EconomicOperands;1
contract;EconomicOperands;1
between;FunctionWords;1
Finance;EconomicOperands;2
Agency;EconomicOperands;3
Director;EconomicOperands;1
submit;EconomicOperands;1
plans;EconomicOperands;1
continue;EconomicOperands;1
housing;EconomicOperands;1
while;LogicalConnectors;1
same;FunctionWords;1
will;FunctionWords;1
funds;EconomicOperands;14
State;EconomicOperands;5
1607;LegalReferences;1
If;LogicalConnectors;1
provided;EconomicOperands;1
are;FunctionWords;2
(a);FunctionWords;2
(b);LegalReferences;3
then;LogicalConnectors;1
all;FunctionWords;1
Withdrawal;EconomicOperands;2
XVI;LegalReferences;1
provision;EconomicOperands;1
if;LogicalConnectors;2
agency;EconomicOperands;2
withdraws;EconomicOperands;1
otherwise;LogicalConnectors;1
made;FunctionWords;2
available;EconomicOperands;2
this;FunctionWords;2
have;FunctionWords;2
local;EconomicOperands;1
government;EconomicOperands;1
1603;LegalReferences;1
All;FunctionWords;1
In;FunctionWords;1
requirements;EconomicOperands;2
determines;RegulatoryOperators;1
it;EconomicOperands;1
interest;EconomicOperands;1
Requests;EconomicOperands;1
also;LogicalConnectors;1
apply;RegulatoryOperators;1
